measurement_type,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,cumulative_accepted_requests
measured_local_hardhat,0.5,500578,24,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",2.216699999757111,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,25,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.959999999962747,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,26,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",2.0306000001728535,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,27,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.9507999997586012,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,28,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.9928000001236796,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,29,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.9094000002369285,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,30,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",2.1962000001221895,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,31,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.9706000005826354,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,32,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.7051999997347593,5000000,4505202,0,494798,0,9
measured_local_hardhat,1.0,1011807,1,1,0,,3.5839999997988343,5000000,1011807,0,3988193,0,1
measured_local_hardhat,1.0,1011807,2,1,0,,4.314900000579655,5000000,2023614,0,2976386,0,2
measured_local_hardhat,1.0,1011807,3,1,0,,3.162499999627471,5000000,3035421,0,1964579,0,3
